time_sec,vowel,confidence
127.6,口閉じ,1.0
128.2,I,0.2836
128.4667,口閉じ,1.0
129.08,I,0.9067
129.12,E,0.8247
129.24,A,0.8524
129.32,E,0.5589
129.56,I,0.8789
130.32,E,0.8947
130.96,I,0.8689
131.04,E,0.8397
131.12,I,0.9603
131.4,E,0.7947
131.56,I,0.7598
132.0,A,0.8036
132.08,E,0.8202
132.24,I,0.398
132.2667,口閉じ,1.0
132.4,I,0.517
132.48,E,0.7642
132.72,I,0.89
133.12,E,0.8321
133.36,I,0.7476
133.76,E,0.8868
134.0333,口閉じ,1.0
134.88,I,0.9423
137.08,E,0.8319
137.16,I,0.8769
137.44,E,0.6065
137.56,I,0.5387
137.6,口閉じ,1.0
138.12,I,0.953
139.08,A,0.7685
139.12,E,0.8979
139.36,I,0.5221
139.4,口閉じ,1.0
139.52,I,0.5945
139.56,E,0.7552
139.68,I,0.6798
139.76,E,0.6869
139.84,I,0.9128
140.24,E,0.8297
140.44,I,0.7174
140.88,A,0.7689
141.04,E,0.8057
141.1667,口閉じ,1.0
142.72,I,0.9532
143.04,E,0.7852
143.28,I,0.8499
144.7,口閉じ,1.0
144.84,A,0.6218
144.88,E,0.8115
144.92,I,0.7252
145.12,E,0.7487
145.24,I,0.861
145.6,E,0.7821
145.96,I,0.5359
146.2667,口閉じ,1.0
146.44,I,0.9251
148.28,E,0.7162
149.16,I,0.9279
150.88,E,0.713
151.2,I,0.7654
151.8333,口閉じ,1.0
152.32,I,0.6479
152.36,E,0.5679
152.48,I,0.7386
152.7,口閉じ,1.0
153.08,I,0.5856
153.16,E,0.9768
154.24,I,0.6523
154.28,E,0.6033
154.4,I,0.8084
156.12,E,0.6611
156.76,I,0.9042
157.0,E,0.6425
157.12,I,0.6988
157.2667,口閉じ,1.0
157.84,I,0.9056
158.7,口閉じ,1.0
158.96,I,0.7244
159.16,E,0.7414
159.32,I,0.9252
160.0,E,0.5836
160.08,I,0.4123
160.4667,口閉じ,1.0
160.96,I,0.8038
161.6,口閉じ,1.0
162.28,I,0.9402
162.76,E,0.9422
162.84,I,0.6589
163.1667,口閉じ,1.0
163.92,I,0.806
164.04,E,0.7216
164.92,I,0.787
165.0,E,0.7592
165.12,I,0.6558
165.8333,口閉じ,1.0
166.0,I,0.5816
166.9667,口閉じ,1.0
167.4,I,0.9298
167.64,E,0.6564
168.08,I,0.9496
168.56,E,0.8614
168.64,I,0.4587
168.7667,口閉じ,1.0
169.4,I,0.7727
169.8,E,0.8106
170.36,I,0.7598
170.8333,口閉じ,1.0
171.84,I,0.7578
172.0667,口閉じ,1.0
172.28,E,0.8999
172.4,I,0.8326
172.48,E,0.6447
172.56,I,0.6295
172.72,E,0.8433
172.84,I,0.6089
172.9667,口閉じ,1.0
173.72,I,0.824
173.8333,口閉じ,1.0
174.0,I,0.4456
174.04,E,0.5908
174.36,I,0.7236
174.7,口閉じ,1.0
175.36,I,0.7444
175.6333,口閉じ,1.0
175.72,A,0.4847
175.76,E,0.7033
178.08,I,0.9583
178.64,E,0.8973
178.88,I,0.3875
179.1667,口閉じ,1.0
179.56,I,0.416
179.76,E,0.8917
179.84,I,0.7389
180.0667,口閉じ,1.0
180.52,I,0.9349
181.12,E,0.7564
181.8,I,0.8946
182.5,口閉じ,1.0
185.08,I,0.3343
185.1,口閉じ,1.0
186.96,I,0.958
187.1667,口閉じ,1.0
187.4,I,0.8597
188.0333,口閉じ,1.0
188.52,I,0.8331
189.8,口閉じ,1.0
190.52,I,0.7812
190.7,口閉じ,1.0
190.88,I,0.9578
191.44,E,0.6551
191.48,I,0.7139
191.6333,口閉じ,1.0
191.96,I,0.3654
192.12,E,0.6865
192.16,I,0.4629
192.5,口閉じ,1.0
192.96,I,0.8365
193.08,E,0.8183
193.16,I,0.7584
193.4,口閉じ,1.0
193.56,I,0.1756
193.72,E,0.8556
193.76,I,0.6107
193.96,A,0.8385
194.0,E,0.9356
194.2,I,0.605
194.2667,口閉じ,1.0
194.44,I,0.4346
195.1667,口閉じ,1.0
195.84,I,0.4775
196.0333,口閉じ,1.0
198.08,I,0.8959
199.6,口閉じ,1.0
200.4,I,0.834
200.5,口閉じ,1.0
200.6,I,0.372
200.72,E,0.7233
200.88,I,0.8192
201.16,E,0.7402
201.28,I,0.7915
201.4,口閉じ,1.0
202.96,I,0.9117
203.1667,口閉じ,1.0
203.68,I,0.8317
204.0667,口閉じ,1.0
206.16,I,0.928
206.3,口閉じ,1.0
206.44,I,0.7498
206.68,E,0.9337
206.88,I,0.3763
207.12,E,0.5707
207.16,I,0.6617
207.28,E,0.7685
207.44,I,0.7738
207.6333,口閉じ,1.0
207.92,I,0.7827
208.04,E,0.6647
208.12,I,0.4224
208.5,口閉じ,1.0
208.64,A,0.7864
208.72,I,0.8023
209.12,E,0.7614
209.84,I,0.8137
210.0,E,0.8497
210.52,I,0.9256
211.6,口閉じ,1.0
212.92,I,0.9448
213.8667,口閉じ,1.0
214.16,I,0.8115
214.6,E,0.7646
214.64,I,0.5673
214.7667,口閉じ,1.0
215.0,I,0.7652
215.08,E,0.7132
215.2,I,0.8261
215.28,E,0.7037
215.36,I,0.6605
215.6,口閉じ,1.0
216.32,I,0.9039
216.68,E,0.8343
217.0,I,0.9455
217.32,E,0.9074
218.52,I,0.9056
219.4333,口閉じ,1.0
219.6,I,0.866
220.7,口閉じ,1.0
221.92,I,0.8883
222.0333,口閉じ,1.0
222.52,I,0.8102
222.7,口閉じ,1.0
224.32,I,0.894
224.5,口閉じ,1.0
225.04,I,0.9167
225.2,口閉じ,1.0
225.64,I,0.712
226.4667,口閉じ,1.0
227.6,I,0.8967
227.8333,口閉じ,1.0
229.04,I,0.9133
229.8333,口閉じ,1.0
231.08,I,0.9434
231.6,口閉じ,1.0
233.84,I,0.9319
234.9667,口閉じ,1.0
235.2,I,0.8856
236.9667,口閉じ,1.0
238.56,I,0.9582
238.7,口閉じ,1.0
239.12,I,0.8646
240.7,口閉じ,1.0
241.8,I,0.8908
242.0333,口閉じ,1.0
243.28,I,0.9304
244.0333,口閉じ,1.0
245.28,I,0.8497
